incident_id,source_agency,pdf_filename,pdf_path,json_path,extraction_status
02-May-2024_GC 478_Murphy EV2010R,BSEE,02-May-2024_GC%20478_Murphy%20EV2010R.pdf,data/corpus_v1/raw_pdfs/02-May-2024_GC%20478_Murphy%20EV2010R.pdf,data/corpus_v1/structured_json/02-May-2024_GC%20478_Murphy%20EV2010R.json,ready
07-MAR-2024_KC 785_LLOG_EV2010R (1),BSEE,07-MAR-2024_KC%20785_LLOG_EV2010R%20%281%29.pdf,data/corpus_v1/raw_pdfs/07-MAR-2024_KC%20785_LLOG_EV2010R%20%281%29.pdf,data/corpus_v1/structured_json/07-MAR-2024_KC%20785_LLOG_EV2010R%20%281%29.json,ready
08-July-2024_ST 23CC_Cantium EV2010R,BSEE,08-July-2024_ST%2023CC_Cantium%20EV2010R.pdf,data/corpus_v1/raw_pdfs/08-July-2024_ST%2023CC_Cantium%20EV2010R.pdf,data/corpus_v1/structured_json/08-July-2024_ST%2023CC_Cantium%20EV2010R.json,ready
10-Nov-2024_GC432_Murphy EV2010R,BSEE,10-Nov-2024_GC432_Murphy%20EV2010R.pdf,data/corpus_v1/raw_pdfs/10-Nov-2024_GC432_Murphy%20EV2010R.pdf,data/corpus_v1/structured_json/10-Nov-2024_GC432_Murphy%20EV2010R.json,ready
11-JUL-2024_HIA5_MantaRay_EV2010R (1)_0,BSEE,11-JUL-2024_HIA5_MantaRay_EV2010R%20%281%29_0.pdf,data/corpus_v1/raw_pdfs/11-JUL-2024_HIA5_MantaRay_EV2010R%20%281%29_0.pdf,data/corpus_v1/structured_json/11-JUL-2024_HIA5_MantaRay_EV2010R%20%281%29_0.json,ready
13-MAR-2024_SS189_WOG_EV2010,BSEE,13-MAR-2024_SS189_WOG_EV2010.pdf,data/corpus_v1/raw_pdfs/13-MAR-2024_SS189_WOG_EV2010.pdf,data/corpus_v1/structured_json/13-MAR-2024_SS189_WOG_EV2010.json,ready
16 Feb 2024_WR 29 _Chevron_EV2010R,BSEE,16%20Feb%202024_WR%2029%20_Chevron_EV2010R.pdf,data/corpus_v1/raw_pdfs/16%20Feb%202024_WR%2029%20_Chevron_EV2010R.pdf,data/corpus_v1/structured_json/16%20Feb%202024_WR%2029%20_Chevron_EV2010R.json,ready
18 Jan 2024_GC 478_Murphy_ EV2010R,BSEE,18%20Jan%202024_GC%20478_Murphy_%20EV2010R.pdf,data/corpus_v1/raw_pdfs/18%20Jan%202024_GC%20478_Murphy_%20EV2010R.pdf,data/corpus_v1/structured_json/18%20Jan%202024_GC%20478_Murphy_%20EV2010R.json,ready
18-FEB-2023 BP MC 778 PDQ,BSEE,18-FEB-2023%20BP%20MC%20778%20PDQ.pdf,data/corpus_v1/raw_pdfs/18-FEB-2023%20BP%20MC%20778%20PDQ.pdf,data/corpus_v1/structured_json/18-FEB-2023%20BP%20MC%20778%20PDQ.json,ready
18-JUN-2023_Chevron_Platform Gail_EV2010R,BSEE,18-JUN-2023_Chevron_Platform%20Gail_EV2010R.pdf,data/corpus_v1/raw_pdfs/18-JUN-2023_Chevron_Platform%20Gail_EV2010R.pdf,data/corpus_v1/structured_json/18-JUN-2023_Chevron_Platform%20Gail_EV2010R.json,ready
20-July-2024_SS 224D_Talos EV2010R,BSEE,20-July-2024_SS%20224D_Talos%20EV2010R.pdf,data/corpus_v1/raw_pdfs/20-July-2024_SS%20224D_Talos%20EV2010R.pdf,data/corpus_v1/structured_json/20-July-2024_SS%20224D_Talos%20EV2010R.json,ready
2010 Arena HI 547 B 05.JAN_.2023 Redacted,BSEE,2010%20Arena%20HI%20547%20B%2005.JAN_.2023%20Redacted.pdf,data/corpus_v1/raw_pdfs/2010%20Arena%20HI%20547%20B%2005.JAN_.2023%20Redacted.pdf,data/corpus_v1/structured_json/2010%20Arena%20HI%20547%20B%2005.JAN_.2023%20Redacted.json,ready
2010 Shell AC 857 03.JAN_.2023 Redacted,BSEE,2010%20Shell%20AC%20857%2003.JAN_.2023%20Redacted.pdf,data/corpus_v1/raw_pdfs/2010%20Shell%20AC%20857%2003.JAN_.2023%20Redacted.pdf,data/corpus_v1/structured_json/2010%20Shell%20AC%20857%2003.JAN_.2023%20Redacted.json,ready
21-MAR-2023_WR758_Chevron_EV2010R,BSEE,21-MAR-2023_WR758_Chevron_EV2010R.pdf,data/corpus_v1/raw_pdfs/21-MAR-2023_WR758_Chevron_EV2010R.pdf,data/corpus_v1/structured_json/21-MAR-2023_WR758_Chevron_EV2010R.json,ready
22-Apr-2024_GC 389_ Murphy EV2010R,BSEE,22-Apr-2024_GC%20389_%20Murphy%20EV2010R.pdf,data/corpus_v1/raw_pdfs/22-Apr-2024_GC%20389_%20Murphy%20EV2010R.pdf,data/corpus_v1/structured_json/22-Apr-2024_GC%20389_%20Murphy%20EV2010R.json,ready
