incident_id,control_id,name,side,barrier_role,barrier_type,line_of_defense,lod_basis,linked_threat_ids,linked_consequence_ids,barrier_status,barrier_failed,human_contribution_value,barrier_failed_human,confidence,supporting_text_count,source_agency,provider_bucket,json_path
EB%20602-A%20%20Anadarko%20%2021-May-2025,C-001,Gas detection system,prevention,detect,engineering,1st,,T-001,,active,False,,False,medium,1,UNKNOWN,incidents,data/structured/incidents/EB%20602-A%20%20Anadarko%20%2021-May-2025.json
EI%20259%20White%20Fleet%2003_OCT_2025,C-001,Gas detection system,prevention,detect,engineering,1st,,T-001,,active,False,,False,medium,1,UNKNOWN,incidents,data/structured/incidents/EI%20259%20White%20Fleet%2003_OCT_2025.json
EV2010R%20-%20GB%20215,C-001,Gas detection system,prevention,detect,engineering,1st,,T-001,,active,False,,False,medium,1,UNKNOWN,incidents,data/structured/incidents/EV2010R%20-%20GB%20215.json
EV2010R%20-%20MC%20773,C-001,Gas detection system,prevention,detect,engineering,1st,,T-001,,active,False,,False,medium,1,UNKNOWN,incidents,data/structured/incidents/EV2010R%20-%20MC%20773.json
EV2010R%20-%20VR%2038,C-001,Gas detection system,prevention,detect,engineering,1st,,T-001,,active,False,,False,medium,1,UNKNOWN,incidents,data/structured/incidents/EV2010R%20-%20VR%2038.json
EV2010R%20-%20WR%20249,C-001,Gas detection system,prevention,detect,engineering,1st,,T-001,,active,False,,False,medium,1,UNKNOWN,incidents,data/structured/incidents/EV2010R%20-%20WR%20249.json
GB%20259%20Hess%2002-JUN-2025,C-001,Gas detection system,prevention,detect,engineering,1st,,T-001,,active,False,,False,medium,1,UNKNOWN,incidents,data/structured/incidents/GB%20259%20Hess%2002-JUN-2025.json
GC%20868%20BP%2008-May-2025,C-001,Gas detection system,prevention,detect,engineering,1st,,T-001,,active,False,,False,medium,1,UNKNOWN,incidents,data/structured/incidents/GC%20868%20BP%2008-May-2025.json
GI%2047%20AP%20GOM%20Shelf%2025-APR-2025,C-001,Gas detection system,prevention,detect,engineering,1st,,T-001,,active,False,,False,medium,1,UNKNOWN,incidents,data/structured/incidents/GI%2047%20AP%20GOM%20Shelf%2025-APR-2025.json
MC%20127%20Anadarko%2009-MAY-2025,C-001,Gas detection system,prevention,detect,engineering,1st,,T-001,,active,False,,False,medium,1,UNKNOWN,incidents,data/structured/incidents/MC%20127%20Anadarko%2009-MAY-2025.json
MC%20300%20Murphy%20Exploration%2029-May-2025,C-001,Gas detection system,prevention,detect,engineering,1st,,T-001,,active,False,,False,medium,1,UNKNOWN,incidents,data/structured/incidents/MC%20300%20Murphy%20Exploration%2029-May-2025.json
MP%20153%20B%20GOM%20Shelf%2003-May-2025,C-001,Gas detection system,prevention,detect,engineering,1st,,T-001,,active,False,,False,medium,1,UNKNOWN,incidents,data/structured/incidents/MP%20153%20B%20GOM%20Shelf%2003-May-2025.json
MP%2042%20D%20Cantium%2027-Apr-25,C-001,Gas detection system,prevention,detect,engineering,1st,,T-001,,active,False,,False,medium,1,UNKNOWN,incidents,data/structured/incidents/MP%2042%20D%20Cantium%2027-Apr-25.json
SP%2027%20NuGulf%2018-Jul-2025,C-001,Gas detection system,prevention,detect,engineering,1st,,T-001,,active,False,,False,medium,1,UNKNOWN,incidents,data/structured/incidents/SP%2027%20NuGulf%2018-Jul-2025.json
SP%2049-C%20W%26%20T%20Offshore%2030-Jul-2025_0,C-001,Gas detection system,prevention,detect,engineering,1st,,T-001,,active,False,,False,medium,1,UNKNOWN,incidents,data/structured/incidents/SP%2049-C%20W%26%20T%20Offshore%2030-Jul-2025_0.json
