incident_id,source_agency,provider_bucket,incident__source__date_occurred,incident__context__region,incident__context__operator,incident__event__top_event,incident__event__incident_type,incident__event__summary,json_path
EB%20602-A%20%20Anadarko%20%2021-May-2025,UNKNOWN,incidents,,Gulf of Mexico,Stub Operator,Loss of Containment,gas_release,Stub incident for testing purposes.,data/structured/incidents/EB%20602-A%20%20Anadarko%20%2021-May-2025.json
EI%20259%20White%20Fleet%2003_OCT_2025,UNKNOWN,incidents,,Gulf of Mexico,Stub Operator,Loss of Containment,gas_release,Stub incident for testing purposes.,data/structured/incidents/EI%20259%20White%20Fleet%2003_OCT_2025.json
EV2010R%20-%20GB%20215,UNKNOWN,incidents,,Gulf of Mexico,Stub Operator,Loss of Containment,gas_release,Stub incident for testing purposes.,data/structured/incidents/EV2010R%20-%20GB%20215.json
EV2010R%20-%20MC%20773,UNKNOWN,incidents,,Gulf of Mexico,Stub Operator,Loss of Containment,gas_release,Stub incident for testing purposes.,data/structured/incidents/EV2010R%20-%20MC%20773.json
EV2010R%20-%20VR%2038,UNKNOWN,incidents,,Gulf of Mexico,Stub Operator,Loss of Containment,gas_release,Stub incident for testing purposes.,data/structured/incidents/EV2010R%20-%20VR%2038.json
EV2010R%20-%20WR%20249,UNKNOWN,incidents,,Gulf of Mexico,Stub Operator,Loss of Containment,gas_release,Stub incident for testing purposes.,data/structured/incidents/EV2010R%20-%20WR%20249.json
GB%20259%20Hess%2002-JUN-2025,UNKNOWN,incidents,,Gulf of Mexico,Stub Operator,Loss of Containment,gas_release,Stub incident for testing purposes.,data/structured/incidents/GB%20259%20Hess%2002-JUN-2025.json
GC%20868%20BP%2008-May-2025,UNKNOWN,incidents,,Gulf of Mexico,Stub Operator,Loss of Containment,gas_release,Stub incident for testing purposes.,data/structured/incidents/GC%20868%20BP%2008-May-2025.json
GI%2047%20AP%20GOM%20Shelf%2025-APR-2025,UNKNOWN,incidents,,Gulf of Mexico,Stub Operator,Loss of Containment,gas_release,Stub incident for testing purposes.,data/structured/incidents/GI%2047%20AP%20GOM%20Shelf%2025-APR-2025.json
MC%20127%20Anadarko%2009-MAY-2025,UNKNOWN,incidents,,Gulf of Mexico,Stub Operator,Loss of Containment,gas_release,Stub incident for testing purposes.,data/structured/incidents/MC%20127%20Anadarko%2009-MAY-2025.json
MC%20300%20Murphy%20Exploration%2029-May-2025,UNKNOWN,incidents,,Gulf of Mexico,Stub Operator,Loss of Containment,gas_release,Stub incident for testing purposes.,data/structured/incidents/MC%20300%20Murphy%20Exploration%2029-May-2025.json
MP%20153%20B%20GOM%20Shelf%2003-May-2025,UNKNOWN,incidents,,Gulf of Mexico,Stub Operator,Loss of Containment,gas_release,Stub incident for testing purposes.,data/structured/incidents/MP%20153%20B%20GOM%20Shelf%2003-May-2025.json
MP%2042%20D%20Cantium%2027-Apr-25,UNKNOWN,incidents,,Gulf of Mexico,Stub Operator,Loss of Containment,gas_release,Stub incident for testing purposes.,data/structured/incidents/MP%2042%20D%20Cantium%2027-Apr-25.json
SP%2027%20NuGulf%2018-Jul-2025,UNKNOWN,incidents,,Gulf of Mexico,Stub Operator,Loss of Containment,gas_release,Stub incident for testing purposes.,data/structured/incidents/SP%2027%20NuGulf%2018-Jul-2025.json
SP%2049-C%20W%26%20T%20Offshore%2030-Jul-2025_0,UNKNOWN,incidents,,Gulf of Mexico,Stub Operator,Loss of Containment,gas_release,Stub incident for testing purposes.,data/structured/incidents/SP%2049-C%20W%26%20T%20Offshore%2030-Jul-2025_0.json
