doc_id,title,date,page_url,url,source
sp2062-c20gom20shelf202003-nov-2025,11-03-2025,2026-01-01,https://www.bsee.gov/what-we-do/incident-investigations/offshore-incident-investigations/district-investigation-reports,https://www.bsee.gov/sites/bsee.gov/files/2026-01/SP%2062-C%20GOM%20Shelf%20%2003-Nov-2025.pdf,bsee
ei2025920white20fleet2003_oct_2025,10-03-2025,2026-01-01,https://www.bsee.gov/what-we-do/incident-investigations/offshore-incident-investigations/district-investigation-reports,https://www.bsee.gov/sites/bsee.gov/files/2026-01/EI%20259%20White%20Fleet%2003_OCT_2025.pdf,bsee
wd2015220renaissance2027-aug-2025,08-27-2025,2025-01-01,https://www.bsee.gov/what-we-do/incident-investigations/offshore-incident-investigations/district-investigation-reports,https://www.bsee.gov/sites/bsee.gov/files/2025-12/WD%20152%20Renaissance%2027-Aug-2025.pdf,bsee
gb2095920shell2003-aug-2025_0,08-03-2025,2026-01-01,https://www.bsee.gov/what-we-do/incident-investigations/offshore-incident-investigations/district-investigation-reports,https://www.bsee.gov/sites/bsee.gov/files/2026-02/GB%20959%20Shell%2003-Aug-2025_0.pdf,bsee
sp2049-c20w2620t20offshore2030-jul-2025_0,07-30-2025,2025-01-01,https://www.bsee.gov/what-we-do/incident-investigations/offshore-incident-investigations/district-investigation-reports,https://www.bsee.gov/sites/bsee.gov/files/2025-12/SP%2049-C%20W%26%20T%20Offshore%2030-Jul-2025_0.pdf,bsee
sp202720nugulf2018-jul-2025,07-18-2025,2025-01-01,https://www.bsee.gov/what-we-do/incident-investigations/offshore-incident-investigations/district-investigation-reports,https://www.bsee.gov/sites/bsee.gov/files/2025-09/SP%2027%20NuGulf%2018-Jul-2025.pdf,bsee
ev2010r20-20gb20215,07-17-2025,2025-01-01,https://www.bsee.gov/what-we-do/incident-investigations/offshore-incident-investigations/district-investigation-reports,https://www.bsee.gov/sites/bsee.gov/files/2025-11/EV2010R%20-%20GB%20215.pdf,bsee
ev2010r20-20mc20773,07-16-2025,2025-01-01,https://www.bsee.gov/what-we-do/incident-investigations/offshore-incident-investigations/district-investigation-reports,https://www.bsee.gov/sites/bsee.gov/files/2025-11/EV2010R%20-%20MC%20773.pdf,bsee
ev2010r20-20vr2038,07-12-2025,2025-01-01,https://www.bsee.gov/what-we-do/incident-investigations/offshore-incident-investigations/district-investigation-reports,https://www.bsee.gov/sites/bsee.gov/files/2025-11/EV2010R%20-%20VR%2038.pdf,bsee
gb2025920hess2002-jun-2025,06-02-2025,2025-01-01,https://www.bsee.gov/what-we-do/incident-investigations/offshore-incident-investigations/district-investigation-reports,https://www.bsee.gov/sites/bsee.gov/files/2025-09/GB%20259%20Hess%2002-JUN-2025.pdf,bsee
mc2030020murphy20exploration2029-may-2025,05-29-2025,2026-01-01,https://www.bsee.gov/what-we-do/incident-investigations/offshore-incident-investigations/district-investigation-reports,https://www.bsee.gov/sites/bsee.gov/files/2026-01/MC%20300%20Murphy%20Exploration%2029-May-2025.pdf,bsee
eb20602-a2020anadarko202021-may-2025,05-21-2025,2025-01-01,https://www.bsee.gov/what-we-do/incident-investigations/offshore-incident-investigations/district-investigation-reports,https://www.bsee.gov/sites/bsee.gov/files/2025-08/EB%20602-A%20%20Anadarko%20%2021-May-2025.pdf,bsee
mc2012720anadarko2009-may-2025,05-09-2025,2025-01-01,https://www.bsee.gov/what-we-do/incident-investigations/offshore-incident-investigations/district-investigation-reports,https://www.bsee.gov/sites/bsee.gov/files/2025-09/MC%20127%20Anadarko%2009-MAY-2025.pdf,bsee
st2022920w26t2009-may-2025,05-09-2025,2025-01-01,https://www.bsee.gov/what-we-do/incident-investigations/offshore-incident-investigations/district-investigation-reports,https://www.bsee.gov/sites/bsee.gov/files/2025-11/ST%20229%20W%26T%2009-May-2025.pdf,bsee
gc2086820bp2008-may-2025,05-08-2025,2025-01-01,https://www.bsee.gov/what-we-do/incident-investigations/offshore-incident-investigations/district-investigation-reports,https://www.bsee.gov/sites/bsee.gov/files/2025-09/GC%20868%20BP%2008-May-2025.pdf,bsee
vk2091520anadarko2004-may-2025,05-04-2025,2025-01-01,https://www.bsee.gov/what-we-do/incident-investigations/offshore-incident-investigations/district-investigation-reports,https://www.bsee.gov/sites/bsee.gov/files/2025-09/VK%20915%20Anadarko%2004-May-2025.pdf,bsee
mp2015320b20gom20shelf2003-may-2025,05-03-2025,2025-01-01,https://www.bsee.gov/what-we-do/incident-investigations/offshore-incident-investigations/district-investigation-reports,https://www.bsee.gov/sites/bsee.gov/files/2025-07/MP%20153%20B%20GOM%20Shelf%2003-May-2025.pdf,bsee
ev2010r20-20wr20249,04-28-2025,2025-01-01,https://www.bsee.gov/what-we-do/incident-investigations/offshore-incident-investigations/district-investigation-reports,https://www.bsee.gov/sites/bsee.gov/files/2025-11/EV2010R%20-%20WR%20249.pdf,bsee
