doc_id,title,date,page_url,url,source
cuisine-solutions-ammonia-release-,Cuisine Solutions Ammonia Release,2025-09-25,https://www.csb.gov/cuisine-solutions-ammonia-release-/,https://www.csb.gov/file.aspx?DocumentId=6304,csb
ts-usa-molten-salt-eruption,TS USA Molten Salt Eruption,2025-06-03,https://www.csb.gov/ts-usa-molten-salt-eruption/,https://www.csb.gov/file.aspx?DocumentId=6296,csb
honeywell-geismar-chlorine-and-hydrogen-fluoride-releases,Honeywell Geismar Chlorine and Hydrogen Fluoride Releases,2025-05-27,https://www.csb.gov/honeywell-geismar-chlorine-and-hydrogen-fluoride-releases/,https://www.csb.gov/file.aspx?DocumentId=6295,csb
marathon-martinez-renewable-fuels-fire-,Marathon Martinez Renewable Fuels Fire,2025-03-13,https://www.csb.gov/marathon-martinez-renewable-fuels-fire-/,https://www.csb.gov/file.aspx?DocumentId=6286,csb
csb-safety-study-remote-isolation-of-process-equipment,CSB Safety Study: Remote Isolation of Process Equipment,2024-07-25,https://www.csb.gov/csb-safety-study-remote-isolation-of-process-equipment/,https://www.csb.gov/file.aspx?DocumentId=6280,csb
bp-husky-oregon-chemical-release-and-fire-,BP - Husky Oregon Chemical Release and Fire,2024-06-24,https://www.csb.gov/bp---husky-oregon-chemical-release-and-fire-/,https://www.csb.gov/file.aspx?DocumentId=6275,csb
wendland-1h-well-fatal-explosion-,Wendland 1H Well Fatal Explosion,2023-12-26,https://www.csb.gov/wendland-1h-well-fatal-explosion-/,https://www.csb.gov/file.aspx?DocumentId=6267,csb
kmco-llc-fatal-fire-and-explosion-,KMCO LLC Fatal Fire and Explosion,2023-12-21,https://www.csb.gov/kmco-llc-fatal-fire-and-explosion-/,https://www.csb.gov/file.aspx?DocumentId=6265,csb
foundation-food-group-fatal-chemical-release-,Foundation Food Group Fatal Chemical Release,2023-12-11,https://www.csb.gov/foundation-food-group-fatal-chemical-release-/,https://www.csb.gov/file.aspx?DocumentId=6269,csb
didion-milling-company-explosion-and-fire-,Didion Milling Company Explosion and Fire,2023-12-06,https://www.csb.gov/didion-milling-company-explosion-and-fire-/,https://www.csb.gov/file.aspx?DocumentId=6240,csb
